Seed_num,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
10,0.08431625472449471,0.2151409892153114,-0.13082473449081672,0.175,0.4298245614035088,-0.2548245614035088,0.015706806282722512,0.12601626016260162,-0.1103094538798791,4.576904761904762,2.787932537827348,1.7889722240774142,0.8458286876851947,0.7402124669314931,0.10561622075370158,0.457954690452662,0.6752371331056684,-0.21728244265300634,0.0,0.2761904761904762,-0.2761904761904762,0.12658227848101267,0.14666666666666667,-0.020084388185654,0.7827519778661911
11,0.08291896746005276,0.21929677708166775,-0.136377809621615,0.3829787234042553,0.411214953271028,-0.02823622986677271,0.0787037037037037,0.1085972850678733,-0.0298935813641696,5.943326934503405,2.6098350333380322,3.333491901165373,0.8499711267803687,0.7373445996665008,0.11262652711386789,0.4631778711484594,0.6648876694117882,-0.20170979826332885,0.1524390243902439,0.32298136645962733,-0.17054234206938343,0.10101010101010101,0.09580838323353294,0.005201717776568068,0.7825862029542232
12,0.06696872871691759,0.2149137718068747,-0.14794504308995712,0.3548387096774194,0.4146341463414634,-0.05979543666404402,0.0947867298578199,0.11946902654867257,-0.024682296690852673,8.416950464396283,2.950689180100945,5.466261284295339,0.8465780886403232,0.7403750991815571,0.10620298945876616,0.46189412737799823,0.6777311980428582,-0.21583707066485996,0.16455696202531644,0.31683168316831684,-0.1522747211430004,0.05952380952380952,0.09523809523809523,-0.03571428571428571,0.7830969611743723
13,0.0843633348161272,0.2152451227705975,-0.1308817879544703,0.32432432432432434,0.5042735042735043,-0.17994917994917992,0.08108108108108109,0.13953488372093023,-0.058453802639849145,5.96844193817878,2.8144382248522115,3.154003713326569,0.8469813420217825,0.7406261762536623,0.10635516576812021,0.4827040727471762,0.6761901528445581,-0.19348608009738189,0.1270718232044199,0.38596491228070173,-0.25889308907628183,0.08974358974358974,0.14285714285714285,-0.053113553113553105,0.7832615928110853
14,0.06903262351614484,0.21526805033489751,-0.14623542681875268,0.09375,0.4016393442622951,-0.3078893442622951,0.0,0.08936170212765958,-0.08936170212765958,inf,2.804139528351159,inf,0.8477924541435675,0.7402677383348564,0.10752471580871115,0.4593438767351811,0.6757033217721624,-0.2163594450369813,0.0,0.29508196721311475,-0.29508196721311475,0.04,0.09195402298850575,-0.051954022988505745,0.7836040037499429
15,0.08757640329363756,0.2147126306466715,-0.12713622735303395,0.4583333333333333,0.4153846153846154,0.04294871794871791,0.06598984771573604,0.10416666666666667,-0.03817681895093063,6.954300085879032,2.783542954390928,4.170757131488104,0.850357282129559,0.7405169661067906,0.10984031602276834,0.5408448773448773,0.6758483492640132,-0.13500347191913586,0.12101910828025478,0.2914572864321608,-0.170438178151906,0.078125,0.12280701754385964,-0.04468201754385964,0.7844463117940276
16,0.09880974756250646,0.2150328967131888,-0.11622314915068233,0.3055555555555556,0.3898305084745763,-0.08427495291902071,0.07653061224489796,0.08713692946058091,-0.010606317215682948,3.8078676470588233,2.8182406499340136,0.9896269971248097,0.8504379339653317,0.7404766568507952,0.10996127711453652,0.505791451195863,0.6765587088080376,-0.1707672576121746,0.12903225806451613,0.26666666666666666,-0.13763440860215054,0.07792207792207792,0.09146341463414634,-0.01354133671206842,0.7847775757991494
17,0.09838744828108936,0.21545532844743387,-0.1170678801663445,0.13513513513513514,0.46153846153846156,-0.3264033264033264,0.026881720430107527,0.07569721115537849,-0.04881549072527096,5.938990792489244,2.846597408376012,3.0923933841132323,0.8504011062707866,0.7403757887068643,0.11002531756392231,0.5267880948905617,0.675993785316004,-0.1492056904254423,0.0,0.2962962962962963,-0.2962962962962963,0.1388888888888889,0.09497206703910614,0.04391682184978275,0.7846195179951525
18,0.0928869056213246,0.21466088298813193,-0.12177397736680734,0.1,0.4838709677419355,-0.3838709677419355,0.01098901098901099,0.08627450980392157,-0.07528549881491058,8.180439919557566,2.92944493006993,5.250994989487635,0.8496324570779954,0.7401251048406186,0.10950735223737684,0.5439401739401739,0.677795630766981,-0.1338554568268071,0.0,0.328042328042328,-0.328042328042328,0.07142857142857142,0.10526315789473684,-0.03383458646616541,0.7842756779622262
19,0.10899728379484992,0.21487477217833373,-0.1058774883834838,0.40540540540540543,0.46153846153846156,-0.056133056133056136,0.08962264150943396,0.10666666666666667,-0.017044025157232717,4.9101067250602854,2.8324460703821757,2.07766065467811,0.8499793940075294,0.7402089014569705,0.10977049255055893,0.5059885945978746,0.6777318260818966,-0.17174323148402204,0.15204678362573099,0.31088082901554404,-0.15883404538981305,0.10256410256410256,0.12080536912751678,-0.018241266563414224,0.7844451685187724
